"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1842176294701994357","Fri Oct 04 12:13:49 +0000 2024","1","Sukan+ : Persatuan Bola Keranjang Malaysia (MABA) berharap proses naturalisasi pemain yang dilakukannya dapat diselesaikan sebelum Sukan SEA Thailand hujung tahun depan. https://t.co/YRqWDvJdG4","1842176294701994357","","","in","Kuala Lumpur","0","0","0","https://x.com/BernamaTV/status/1842176294701994357","196460981","BernamaTV"
"1842084981973385647","Fri Oct 04 12:13:44 +0000 2024","3","@AKJJIB1 @angelsdudde @gilabola_ina Bukannya kalian juga berburu heritage player? Bahkan berapa banyak player di squad sekarang hasil naturalisasi? Hypocrite.","1842176275848613964","","AKJJIB1","in","Kota Surabaya, Jawa Timur","0","0","0","https://x.com/imamtauf23/status/1842176275848613964","1601410267447169024","imamtauf23"
"1842176104133787802","Fri Oct 04 12:13:03 +0000 2024","0","FIFA menolak naturalisasi pemain Mats Deijl untuk Timnas Malaysia berbeda dengan Indonesia yang lebih mudah naturalisasi. https://t.co/L1LOn9Pq65 #Naturalisasi #FIFA #TimnasMalaysia #MatsDeijl","1842176104133787802","","","in","Surabaya","0","0","0","https://x.com/ngopibareng_id/status/1842176104133787802","1291246080269545472","ngopibareng_id"
"1841458786353185247","Fri Oct 04 12:12:29 +0000 2024","0","@Datunuwair @syahirketu @pickyhn Negara kau dimana? Thai terus kau urus. Kasian .. kasian.. takkan bawah Thai lah prestasi tak dibaqah Thai. Apa pun olahraga rank bawah bisa lebih bagus daripada rank atas prestasinya. Jadi jangan BODOH ya. Cukup naturalisasi saja kalian BODOH ","1842175960235348116","","Datunuwair","in","","0","1","0","https://x.com/Irkaaa____/status/1842175960235348116","1593448135816536064","Irkaaa____"
"1842174555726684234","Fri Oct 04 12:06:54 +0000 2024","1","TAKUT DULUAN !! Berdasarkan pemberitaan Sports Weekly proses naturalisasi Hilgers dan Reijnders tidak sesuai aturan hukum di Indonesia. Upacara pengambilan sumpah keduanya seharusnya diadakan di Indonesia bukan di Belanda tulis https://t.co/PcQHrMUQbd. #TIMNAS #MEESHILGERS https://t.co/gxsmGCdmjA","1842174555726684234","https://pbs.twimg.com/media/GZC3_IPbIAAwKY2.jpg","","in","","0","0","0","https://x.com/sportlovers_id/status/1842174555726684234","1788478039648817152","sportlovers_id"
"1841096556042408013","Fri Oct 04 12:06:31 +0000 2024","0","@BurhanMuhtadi Mantab! Kapan pejabat di Republik Indonesia dari hasil Naturalisasi juga yah... Bosen lihat pemimpin model populer kaya Mulyono kerja tapi nggak becus... 10 Tahun kebanyakan ngibul mirip kaya Sibuya.","1842174460381859859","","BurhanMuhtadi","in","Central Region, Singapore","0","0","0","https://x.com/DindaLaw88/status/1842174460381859859","1731115890815664128","DindaLaw88"
"1842149660179485109","Fri Oct 04 12:03:29 +0000 2024","0","@epahalkauni Sadar diri malaysesh pemain naturalisasi malay sebanyak itu https://t.co/xmH8JB8dgD","1842173693277208603","https://pbs.twimg.com/media/GZC3NiPbIAAntnN.jpg","epahalkauni","in","Indonesia","0","0","0","https://x.com/lmaloser_/status/1842173693277208603","809771873051426820","lmaloser_"
"1841780553693249893","Fri Oct 04 12:02:40 +0000 2024","9","@epahalkauni @AlphaE71 @OnefootballM Sadar diri lah malay. Pemain naturalisasi malay sebanyak apa https://t.co/j63sUpHzWB","1842173487991210390","https://pbs.twimg.com/media/GZC3BhNbsAAQj8K.jpg","epahalkauni","in","Indonesia","0","1","0","https://x.com/lmaloser_/status/1842173487991210390","809771873051426820","lmaloser_"
"1842158314668601494","Fri Oct 04 12:01:43 +0000 2024","2","@ggedangggoreng Mereka bertiga bukan naturalisasi karna tiga2nya lahir dan dibesarkan di spanyol meskipun ortunya bukan spanish. Pemain naturalisasi di skuad spanyol sekarang cuma laporte sama le normand (dua2nya dari prancis tapi dibesarkan di klub basque).","1842173250081816921","","ggedangggoreng","in","","0","1","0","https://x.com/sunseunnie/status/1842173250081816921","964311177080733696","sunseunnie"
"1842172427289481540","Fri Oct 04 11:58:27 +0000 2024","2","Bisa nya negara yg banyak naturalisasinya gak lolos Ronde 3 Pildun Medali emas olimpiade 0 punya banyak pemain naturalisasi tapi tua dan gk jago... Kok komen begini... Apa dirumah gk punya kaca ??? #malaydesh #FAM #PSSI","1842172427289481540","","","in","","0","0","0","https://x.com/IqbalSyah988/status/1842172427289481540","1143982237928419328","IqbalSyah988"
"1841946132307706152","Fri Oct 04 11:58:09 +0000 2024","0","@Idlkrnwn @_BangFu Eh kudil pemain naturalisasi yg skrng maen di timnas pun kalo dia lahir di indo nasibnya juga sama susah main di Eropa karna diliat dari ranking FIFA timnas maupun liga nya liat marselino dan arhan iya betul mereka main di liga luar tp gapernah main cmn asnawi doang yg reguler","1842172352869847319","","Idlkrnwn","in","","0","1","0","https://x.com/kart84286/status/1842172352869847319","1762982317608550400","kart84286"
"1842116294189138240","Fri Oct 04 11:56:38 +0000 2024","0","@idextratime Terlalu mengandalkan naturalisasi sekalinya ada yg cidera bingung ","1842171973302198362","","idextratime","in","Gresik, Indonesia","0","0","0","https://x.com/UnchPat/status/1842171973302198362","1466901322838392834","UnchPat"
"1842066664227238224","Fri Oct 04 11:53:56 +0000 2024","0","@jawafess Mosok Naturalisasi sing jelas2 nduwe turunan seko wong tuane/mbahe ra oleh mbelo negara leluhure. Mosok yo diprotes????","1842171290582696266","","SastroJoyo1","in","Indonesia","0","0","0","https://x.com/SastroJoyo1/status/1842171290582696266","469303346","SastroJoyo1"
"1842168746192122254","Fri Oct 04 11:53:42 +0000 2024","8","@gilabola_ina selama ini raja ATM berhasil menguasai industri sampai ekonominya bangkit krn nyontek ploduk barat sampai indo jadi big marketnya. akhirnya ada 1 yang tidak bisa dilakukan cino tapi bisa dilakukan king indo naturalisasi cilaka luwa welaaas haaaa","1842171233972195717","","gilabola_ina","in","Tangerang, Indonesia","0","2","0","https://x.com/arminjourney/status/1842171233972195717","841501786204590080","arminjourney"
"1842066664227238224","Fri Oct 04 11:52:40 +0000 2024","0","@jawafess Wis rasah kadoan mbahas naturalisasi saiki nek ono turnamen tarkam neng deso. Klub-klub bola desa ki do ngebon pemain njobo kadang saparo tim ki bon2nan istilahe paketan. Padahal dudu anggota klub sing saben dina melu latian neng klub kui.","1842170972549664978","","jawafess","in","Indonesia","0","1","0","https://x.com/SastroJoyo1/status/1842170972549664978","469303346","SastroJoyo1"
"1842128943866077393","Fri Oct 04 11:51:46 +0000 2024","0","@strootsys Pentingnya naturalisasi Emil Mulyadi Klo situasi seperti ini.","1842170744429773144","","strootsys","in","Klaten, Jawa Tengah","0","0","0","https://x.com/GajMo313/status/1842170744429773144","874626143973908480","GajMo313"
"1842170459380748340","Fri Oct 04 11:51:37 +0000 2024","4","dan pascal dua org ini yang paling impossible buat di naturalisasi sisa nya masih sangat bisa berjodoh ","1842170710338465803","","salvanyyy","in","","0","1","0","https://x.com/salvanyyy/status/1842170710338465803","1769030335881527297","salvanyyy"
"1842170595833729077","Fri Oct 04 11:51:10 +0000 2024","0","Profil Martin Paes Kiper Naturalisasi Baru Timnas Indonesia yang Pernah Tepis Tendangan Messi - Riau Pos https://t.co/bJF428AddC","1842170595833729077","","","in","","0","0","0","https://x.com/fahmy_z17792/status/1842170595833729077","717694243599290368","fahmy_z17792"
"1842170490758340828","Fri Oct 04 11:50:45 +0000 2024","1","indonesia sukses dengan projek naturalisasinya tapi setiap karya emang ada versi murahannya yap siapa lagi kalo bukan projek naturalisasi malaysia yang ngawur bahkan dibilang niru pun gak layak sebenarnya karena emang ngawur cuakss #FAM #Harimaumalaya #timnas @frfuturetalents https://t.co/LadXwu20LM","1842170490758340828","https://pbs.twimg.com/media/GZC0S1mbsAACBho.jpg","","in","","0","0","0","https://x.com/Rakio729/status/1842170490758340828","1563215376888254464","Rakio729"
